"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|GB","Without Sequence","51.95","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|GB","Without Sequence","65.00","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|GB","Without Sequence","51.97","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|GB","Without Sequence","41.92","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|GB","Without Sequence","38.97","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|GB","Without Sequence","37.69","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|GB","Without Sequence","37.38","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|GB","Without Sequence","28.88","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|GB","Without Sequence","35.15","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|GB","Without Sequence","39.19","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|GB","Without Sequence","44.88","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|GB","Without Sequence","48.66","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|GB","Without Sequence","55.01","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|GB","Without Sequence","60.75","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|GB","Without Sequence","58.00","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|GB","Without Sequence","50.00","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|GB","Without Sequence","55.00","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|GB","Without Sequence","90.00","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|GB","Without Sequence","55.00","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|GB","Without Sequence","49.27","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|GB","Without Sequence","51.80","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|GB","Without Sequence","49.06","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|GB","Without Sequence","43.46","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|GB","Without Sequence","45.96","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|GB","Without Sequence","43.95","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|GB","Without Sequence","45.00","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|GB","Without Sequence","43.97","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|GB","Without Sequence","42.00","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|GB","Without Sequence","41.14","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|GB","Without Sequence","43.92","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|GB","Without Sequence","51.74","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|GB","Without Sequence","40.85","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|GB","Without Sequence","43.07","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|GB","Without Sequence","47.03","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|GB","Without Sequence","48.10","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|GB","Without Sequence","47.47","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|GB","Without Sequence","53.31","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|GB","Without Sequence","51.14","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|GB","Without Sequence","49.91","",""
