"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"03/01/2015 06:00:00 - 03/01/2015 07:00:00","BZN|GB","Without Sequence","35.95","",""
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|GB","Without Sequence","36.03","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|GB","Without Sequence","37.42","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|GB","Without Sequence","39.93","",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|GB","Without Sequence","45.05","",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|GB","Without Sequence","44.96","",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|GB","Without Sequence","44.91","",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|GB","Without Sequence","41.59","",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|GB","Without Sequence","36.57","",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|GB","Without Sequence","40.65","",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|GB","Without Sequence","57.92","",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|GB","Without Sequence","74.34","",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|GB","Without Sequence","57.13","",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|GB","Without Sequence","42.03","",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|GB","Without Sequence","44.02","",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|GB","Without Sequence","44.04","",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|GB","Without Sequence","36.58","",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|GB","Without Sequence","40.01","",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|GB","Without Sequence","40.01","",""
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|GB","Without Sequence","51.46","",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|GB","Without Sequence","36.07","",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|GB","Without Sequence","35.38","",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|GB","Without Sequence","32.29","",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|GB","Without Sequence","32.10","",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|GB","Without Sequence","34.00","",""
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|GB","Without Sequence","31.97","",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|GB","Without Sequence","35.37","",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|GB","Without Sequence","36.59","",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|GB","Without Sequence","38.89","",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|GB","Without Sequence","47.09","",""
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|GB","Without Sequence","54.05","",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|GB","Without Sequence","49.90","",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|GB","Without Sequence","38.51","",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|GB","Without Sequence","37.02","",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|GB","Without Sequence","56.69","",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|GB","Without Sequence","79.98","",""
