"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|GB","Without Sequence","48.99","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|GB","Without Sequence","44.03","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|GB","Without Sequence","50.58","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|GB","Without Sequence","54.99","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|GB","Without Sequence","48.87","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|GB","Without Sequence","49.00","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|GB","Without Sequence","52.44","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|GB","Without Sequence","46.12","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|GB","Without Sequence","49.53","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|GB","Without Sequence","44.50","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|GB","Without Sequence","59.92","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|GB","Without Sequence","77.10","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|GB","Without Sequence","65.69","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|GB","Without Sequence","55.22","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|GB","Without Sequence","51.82","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|GB","Without Sequence","49.55","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|GB","Without Sequence","39.43","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|GB","Without Sequence","42.00","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|GB","Without Sequence","42.65","",""
