"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|GB","Without Sequence","31.10","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|GB","Without Sequence","37.58","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|GB","Without Sequence","36.53","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|GB","Without Sequence","29.91","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|GB","Without Sequence","27.96","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|GB","Without Sequence","29.88","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|GB","Without Sequence","18.04","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|GB","Without Sequence","12.75","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|GB","Without Sequence","14.21","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|GB","Without Sequence","20.00","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|GB","Without Sequence","31.07","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|GB","Without Sequence","34.98","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|GB","Without Sequence","40.90","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|GB","Without Sequence","37.25","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|GB","Without Sequence","31.53","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|GB","Without Sequence","34.52","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|GB","Without Sequence","46.41","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|GB","Without Sequence","64.50","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|GB","Without Sequence","39.55","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|GB","Without Sequence","37.51","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|GB","Without Sequence","35.00","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|GB","Without Sequence","34.94","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|GB","Without Sequence","26.91","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|GB","Without Sequence","33.60","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|GB","Without Sequence","34.07","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|GB","Without Sequence","32.96","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|GB","Without Sequence","21.53","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|GB","Without Sequence","18.00","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|GB","Without Sequence","9.90","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|GB","Without Sequence","14.97","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|GB","Without Sequence","20.74","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|GB","Without Sequence","17.00","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|GB","Without Sequence","24.62","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|GB","Without Sequence","34.93","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|GB","Without Sequence","43.60","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|GB","Without Sequence","38.90","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|GB","Without Sequence","43.27","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|GB","Without Sequence","37.10","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|GB","Without Sequence","35.22","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|GB","Without Sequence","32.04","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|GB","Without Sequence","32.50","",""
